module,page_uid,section_id,component_id,control_id,field_id,field_name,field_type,required,validation,api_endpoint,api_method,api_request_field,api_request_type,api_response_field,api_response_type,api_error_code,db_table,db_relation,role,resource,action,scope,current_state,event,condition,next_state,failure_state,rollback_action,retry_policy,qa_layer,test_case,verification_method,automation_possible,human_review_required,evidence,closure_status
CORE_LEGACY,CORE-01,PROJECT_CREATION_WIZARD,PROJECT_FORM,CORE01_PROJECT_CREATE_FORM,CORE01-F001,project_name,string,true,project name required,/api/projects,POST,project_name,string,project_id,id,400_VALIDATION|403_PERMISSION,projects,project_has_topics|project_has_owner,ADMIN,PROJECT,CREATE,GLOBAL,INIT,submit_project,validation_pass,VALIDATING,ERROR,rollback_project_create,manual_retry,QA7_DATA|QA7_API|QA7_RUNTIME,project_create_validation,API_DB_RUNTIME_EVIDENCE,true,false,API_DB_RUNTIME_EVIDENCE,REPLACED_BY_CURRENT_CORE01_SINGLE_PAGE_AUTHORITY
CORE_LEGACY,CORE-02,TOPIC_PRODUCTION_CONTRACT,CONTRACT_FORM,CORE02_TOPIC_CONTRACT_FORM,CORE02-F001,production_type,enum,true,contract validation,/api/topics,POST,project_id,id,topic_id,id,400_CONTRACT_ERROR|403_PERMISSION,topic_contracts,topic_has_project,MANAGER,TOPIC_CONTRACT,CREATE,PROJECT_SCOPE,DRAFT,submit_contract,contract_valid,REVIEW,ERROR,restore_draft,limited_retry,QA7_DATA|QA7_API,topic_contract_flow,RUNTIME_EVIDENCE,true,false,RUNTIME_EVIDENCE,REPLACED_BY_CORE01_SINGLE_PAGE
CORE_LEGACY,CORE-03,PROJECT_BLUEPRINT,BLUEPRINT_EDITOR,CORE03_BLUEPRINT_LOCK,CORE03-F001,blueprint_id,string,true,blueprint validation,/api/blueprints,PUT,blueprint_id,id,blueprint_status,enum,400_BLUEPRINT_ERROR|403_PERMISSION,blueprints,blueprint_project_relation,ADMIN,BLUEPRINT,LOCK,PROJECT_SCOPE,DRAFT,lock_blueprint,validation_pass,LOCKED,ERROR,restore_previous_version,manual_retry,QA7_DATA|QA7_RUNTIME,blueprint_lock_check,RUNTIME_EVIDENCE,true,true,RUNTIME_EVIDENCE,REPLACED_AS_SEPARATE_PAGE_BY_CORE01
CORE_LEGACY,CORE-04,CONVERSATION_WORKSPACE,AI_DIALOG_PANEL,CORE04_CONVERSATION_CONTEXT,CORE04-F001,conversation_id,string,true,context validation,/api/conversations,POST,project_id,string,conversation_id,id,400_CONTEXT_ERROR,conversations,conversation_project_relation,PRODUCER,CONVERSATION,EXECUTE,PROJECT_SCOPE,INIT,start_conversation,context_valid,ACTIVE,ERROR,restore_context,manual_retry,QA7_DATA|QA7_API,conversation_restore,API_EVIDENCE,true,false,API_EVIDENCE,REPLACED_AS_SEPARATE_PAGE_BY_CORE01
CORE_LEGACY,CORE-05,TASK_WORKFLOW,TASK_BOARD,CORE05_TASK_HANDOFF,CORE05-F001,task_id,string,true,task validation,/api/tasks,POST,task_payload,json,task_id,id,400_TASK_ERROR,tasks,task_project_relation,MANAGER,TASK,CREATE,PROJECT_SCOPE,CREATED,assign_task,permission_pass,ASSIGNED,ERROR,restore_task,limited_retry,QA7_DATA|QA7_RUNTIME,task_handoff,RUNTIME_EVIDENCE,true,true,RUNTIME_EVIDENCE,REPLACED_AS_SEPARATE_PAGE_BY_CORE01
CORE_LEGACY,CORE-06,SCRIPT_VIEW,SCRIPT_EDITOR,CORE06_SCRIPT_VIEWER,CORE06-F001,script_id,string,true,script validation,/api/scripts,GET,script_id,id,script_content,text,403_PERMISSION,scripts,script_project_relation,PRODUCER,SCRIPT,VIEW,PROJECT_SCOPE,DRAFT,load_script,permission_pass,READY,ERROR,reload_previous_script,manual_retry,QA7_DATA|QA7_API,script_load,FRONTEND_EVIDENCE,true,false,FRONTEND_EVIDENCE,REPLACED_AS_SEPARATE_PAGE_BY_CORE01
ASSET,ASSET-01,ASSET_LIBRARY,ASSET_BROWSER,ASSET01_LIBRARY_VIEW,ASSET01-F001,asset_id,string,true,asset validation,/api/assets,GET,asset_id,id,asset_list,array,403_PERMISSION,assets,asset_version_relation,PRODUCER,ASSET,VIEW,PROJECT_SCOPE,INIT,load_assets,permission_pass,LOADED,ERROR,reload_assets,manual_retry,QA7_DATA|QA7_API,asset_loading,FRONTEND_EVIDENCE,true,false,FRONTEND_EVIDENCE,OPEN
ASSET,ASSET-02,ASSET_VERSION_MANAGEMENT,VERSION_CONTROL,ASSET02_VERSION_LOCK,ASSET02-F001,version_id,string,true,version validation,/api/assets/version,PUT,asset_id,id,version_status,enum,400_VERSION_ERROR,asset_versions,asset_version_asset_relation,ADMIN,ASSET_VERSION,LOCK,PROJECT_SCOPE,DRAFT,lock_version,version_valid,LOCKED,ERROR,restore_version,limited_retry,QA7_DATA|QA7_RUNTIME,asset_version_lock,RUNTIME_EVIDENCE,true,true,RUNTIME_EVIDENCE,OPEN
ASSET,ASSET-03,ASSET_DNA_BINDING,DNA_METADATA_PANEL,ASSET03_DNA_BINDING,ASSET03-F001,asset_dna_id,string,true,DNA validation,/api/assets/dna,POST,asset_id,id,dna_status,enum,400_DNA_ERROR,asset_dna,asset_blueprint_relation,PRODUCER,ASSET_DNA,BIND,PROJECT_SCOPE,INIT,bind_dna,dna_valid,BONDED,ERROR,unbind_dna,manual_retry,QA7_DATA|QA7_API,dna_binding_check,API_EVIDENCE,true,true,API_EVIDENCE,OPEN
ASSET,ASSET-04,ASSET_DELIVERY_BINDING,HANDOFF_PANEL,ASSET04_DELIVERY_BINDING,ASSET04-F001,delivery_id,string,true,delivery validation,/api/assets/delivery,POST,delivery_payload,json,delivery_status,enum,400_DELIVERY_ERROR,asset_delivery,asset_handoff_relation,MANAGER,ASSET_DELIVERY,CREATE,PROJECT_SCOPE,READY,submit_delivery,permission_pass,DELIVERED,ERROR,restore_delivery,manual_retry,QA7_DATA|QA7_RUNTIME,asset_delivery_check,RUNTIME_EVIDENCE,true,true,RUNTIME_EVIDENCE,OPEN
VIDEO,VIDEO-01,VIDEO_WORKSPACE,SCENE_MANAGER,VIDEO01_SCENE_MANAGER,VIDEO01-F001,scene_id,string,true,scene validation,/api/video/scenes,POST,scene_payload,json,scene_status,enum,400_SCENE_ERROR,video_scenes,video_project_relation,PRODUCER,VIDEO_SCENE,CREATE,PROJECT_SCOPE,DRAFT,create_scene,payload_valid,SCENE_READY,ERROR,remove_scene,limited_retry,QA7_DATA|QA7_RUNTIME,scene_creation,RUNTIME_EVIDENCE,true,false,RUNTIME_EVIDENCE,OPEN
VIDEO,VIDEO-02,VIDEO_SHOT_MANAGEMENT,SHOT_EDITOR,VIDEO02_SHOT_MAPPING,VIDEO02-F001,shot_id,string,true,shot validation,/api/video/shots,PUT,shot_payload,json,shot_status,enum,400_SHOT_ERROR,video_shots,shot_scene_relation,PRODUCER,VIDEO_SHOT,EDIT,PROJECT_SCOPE,SCENE_READY,update_shot,shot_valid,SHOT_READY,ERROR,restore_shot,manual_retry,QA7_DATA|QA7_API,shot_update,API_EVIDENCE,true,false,API_EVIDENCE,OPEN
VIDEO,VIDEO-03,VIDEO_GENERATION_PIPELINE,GENERATION_PANEL,VIDEO03_GENERATION_CONTROL,VIDEO03-F001,generation_id,string,true,generation validation,/api/video/generate,POST,generation_payload,json,generation_status,enum,402_PROVIDER_ERROR,video_jobs,video_scene_job_relation,PRODUCER,VIDEO_GENERATION,EXECUTE,PROJECT_SCOPE,READY,start_generation,provider_available,PROCESSING,ERROR,cancel_generation,limited_retry,QA7_API|QA7_RUNTIME,generation_flow,RUNTIME_EVIDENCE,true,true,RUNTIME_EVIDENCE,OPEN
VIDEO,VIDEO-04,VIDEO_OUTPUT_VALIDATION,QA_PANEL,VIDEO04_OUTPUT_CHECK,VIDEO04-F001,output_id,string,true,output validation,/api/video/validate,POST,output_payload,json,validation_result,enum,400_VALIDATION_ERROR,video_outputs,output_project_relation,QA,VIDEO_OUTPUT,VERIFY,PROJECT_SCOPE,PROCESSING,validate_output,score_pass,APPROVED,ERROR,reopen_validation,manual_retry,QA7_DATA|QA7_RUNTIME,video_validation,QA_EVIDENCE,true,true,QA_EVIDENCE,OPEN
