module,page_uid,registry_status,next_action
CORE,CORE-01,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
CORE,CORE-02,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
CORE,CORE-03,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
CORE,CORE-04,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
CORE,CORE-05,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
CORE,CORE-06,READY,CONTROL_API_DB_PERMISSION_RUNTIME_QA_FILL
ASSET,ASSET-01,QUEUED,CORE_COMPLETION_REQUIRED
ASSET,ASSET-02,QUEUED,CORE_COMPLETION_REQUIRED
ASSET,ASSET-03,QUEUED,CORE_COMPLETION_REQUIRED
ASSET,ASSET-04,QUEUED,CORE_COMPLETION_REQUIRED
VIDEO,VIDEO-01,QUEUED,ASSET_COMPLETION_REQUIRED
VIDEO,VIDEO-02,QUEUED,ASSET_COMPLETION_REQUIRED
VIDEO,VIDEO-03,QUEUED,ASSET_COMPLETION_REQUIRED
VIDEO,VIDEO-04,QUEUED,ASSET_COMPLETION_REQUIRED
EDIT,EDIT-01,QUEUED,VIDEO_COMPLETION_REQUIRED
VOICE,VOICE-01,QUEUED,EDIT_COMPLETION_REQUIRED
